ERROR_ID,SOURCE_TABLE_NAME,SOURCE_COLUMN_NAME,LOOKUP_TABLE_NAME,RESULT,ACTION,CATEGORY,SEVERITY,DESCRIPTION
502,NULL,NULL,NULL,NULL,NULL,Method,high,method has both a bill of coproduct and a route containing yield loss which are not permitted to coexist
600,NULL,NULL,NULL,NULL,NULL,Model References,low,this data model object is not used
601,NULL,NULL,NULL,NULL,NULL,Model References,low,this com@location is not used in a bom of a method and it has no demands for it
51,ADX_METHOD_MAKE,BOM_ID,NULL,Bom Id is null in Method Make,Add Bom Id to method make,NULL,high,NULL
52,ADX_BOM,BOM_ID,ADX_METHOD_MAKE,Bom Id is not exists in the Method Make,Add Bom Id in the Method Make,NULL,high,NULL
53,ADX_OPERATION,OPERATION_ID,ADX_BOR,Operation time is available in SAP but no Resource Alternative available in ADEXA,Update Resource Alternative in MDM Table for the Operation id.,NULL,high,NULL
22011,NULL,NULL,NULL,NULL,NULL,Broken Bom,high,"No Method for com@loc: but exists in bom "
22012,NULL,NULL,NULL,NULL,NULL,Broken Bom,high,"No Method for com@loc: "
54,DSM_ROUTE_OP_BOR,OPERATION_ID,ADX_OPERATION,Route Family Operation ID not in Operation,Update Route Family Operation ID.,ROUTES,high,NULL
55,DSM_ROUTE_OP_BOR,Resource Alternatives,DSM_RESALT,Route Family Resource Alternatives not in Resalt,Add Route Family Resource Alternatives in Resalt.,Resource,high,NULL
56,DSM_RESALT,RESOURCE,DSM_RESOURCE,Resalt Resource not in Resource,Add Resource ID in Resource.,Resource,high,NULL
57,DSM_ROUTE_OP_BOR,OPERATION_ID,ADX_OPERATION,"All Default setup time, Move Time, Labour Time are zero.",Correct Route Family Operation ID,ROUTES,high,NULL
58,DSM_ROUTE_OP_BOR,OPERATION_ID,ADX_OPERATION,Step Not in SAP,Correct Route Family Step ID,STEP,high,NULL
59,METHOD_MAKE,incr_lot_size,METHOD_MAKE,incr_lot_size value is null in Method Make,Ensure incr_lot_size value,Lot Sizing,high,In Method Make for this product incr_lot_size not defined.
60,PRODUCTLOCATION,incr_lot_size,PRODUCTLOCATION,min_lot_size is not in multipal of incr_lot_size for Product Location,Correct incr_lot_size value for Product Location,Lot Sizing,high,In the Product Location min_lot_size is not in multipal of incr_lot_size.
22013,NULL,NULL,NULL,NULL,NULL,Methods,medium,Created Method with DUMMY Vendor as there is no method exists but product is in demand or supply or workorder.
602,NULL,NULL,NULL,NULL,NULL,Model References,low,this data model object has no elements
603,NULL,NULL,NULL,NULL,NULL,Model References,high,this com@location is not used in a bom of a method and has not means of being acquired through methods
700,NULL,NULL,NULL,NULL,NULL,Constraint Targets,high,this element has an invalid group
701,NULL,NULL,NULL,NULL,NULL,Constraint Targets,high,this element has an invalid target for the selected group (object does not exist)
702,NULL,NULL,NULL,NULL,NULL,Constraint Targets,high,this element has an invalid uda_name for the selected group (uda does not exist)
703,NULL,NULL,NULL,NULL,NULL,Constraints,high,this complex_uda constraint has an invalid action_one: must be a valid UDA name
704,NULL,NULL,NULL,NULL,NULL,Constraints,high,this complex_uda constraint has an invalid action_two: must be two characters separated by a space character
705,NULL,NULL,NULL,NULL,NULL,Constraint Targets,medium,this element with workorder group must have an order value of 1 not 2
706,NULL,NULL,NULL,NULL,NULL,Constraint Targets,high,this element with workorder group must have an order value of 1
707,NULL,NULL,NULL,NULL,NULL,Constraints,high,this constraint must have one or more constraint targets
909,NULL,NULL,NULL,NULL,NULL,Lot Sizing,high,maximum lot size for com@location is smaller than min supply for purchase method (if overridden by method then id of method provided)
10000,NULL,NULL,NULL,NULL,NULL,WIP,low,only on-hold work orders should have a wip start time set
10002,NULL,NULL,NULL,NULL,NULL,WIP,high,remaining time of waiting before WIP should not exceed min wait of operation
10003,NULL,NULL,NULL,NULL,NULL,WIP,low,remaining time of waiting after WIP should not exceed post-process of operation
10100,NULL,NULL,NULL,NULL,NULL,Bill Of Material,high,rate of consuming com@location in this bom must be an integer
10101,NULL,NULL,NULL,NULL,NULL,Bill Of Material,high,multiple elements with the same com@location
10200,NULL,NULL,NULL,NULL,NULL,Bill Of CoProduct,high,a BoC cannot be used in a method that does not have a BoM
10201,NULL,NULL,NULL,NULL,NULL,Bill Of CoProduct,high,Sum of BoC rates does not equal batch size of BoM in this method
10202,NULL,NULL,NULL,NULL,NULL,Bill Of CoProduct,high,BoC does not produce through this method the com@location utilizing it
11001,NULL,NULL,NULL,NULL,NULL,Constraint (Tank),high,no tank defined in constraint_target
11002,NULL,NULL,NULL,NULL,NULL,Constraint (Tank),high,no tank location defined in constraint_target
